date,revenue,cogs,operating_expenses,finance_costs,cash_inflow,cash_outflow,gross_profit,net_profit,net_cashflow
2023-01-01,7135.53,5831.88,1112.16,59.48,6165.39,6208.24,1303.6499999999996,132.00999999999956,-42.849999999999454
2023-02-01,8367.23,6827.09,1319.27,60.76,7127.64,7879.91,1540.1399999999994,160.10999999999945,-752.2699999999995
2023-03-01,9227.97,7431.65,1353.98,54.64,8096.45,8146.28,1796.3199999999997,387.6999999999997,-49.82999999999993
2023-04-01,9461.08,7631.48,1459.08,54.13,8290.68,8299.43,1829.6000000000004,316.39000000000044,-8.75
2023-05-01,9805.12,7987.45,1472.85,58.5,8857.14,8364.61,1817.670000000001,286.3200000000011,492.52999999999884
2023-06-01,10016.47,8059.88,1478.74,63.57,9384.5,9087.97,1956.5899999999992,414.27999999999923,296.53000000000065
2023-07-01,9715.79,7806.46,1516.45,57.64,8365.13,8619.65,1909.3300000000008,335.2400000000008,-254.52000000000044
2023-08-01,9234.48,7541.16,1428.37,60.23,8108.37,8313.02,1693.3199999999997,204.71999999999983,-204.65000000000055
2023-09-01,9072.86,7302.69,1419.22,61.54,8479.08,8377.7,1770.170000000001,289.41000000000093,101.3799999999992
2023-10-01,8645.61,7062.03,1278.94,54.79,7383.96,7584.28,1583.5800000000008,249.8500000000008,-200.3199999999997
2023-11-01,8208.77,6618.69,1285.66,56.66,7185.0,7341.9,1590.0800000000008,247.76000000000076,-156.89999999999964
2023-12-01,9401.44,7661.19,1428.49,64.01,8644.64,8161.48,1740.250000000001,247.7500000000009,483.15999999999985
2024-01-01,7385.66,6087.02,1242.44,121.14,6790.48,6498.77,1298.6399999999994,-64.94000000000064,291.7099999999991
2024-02-01,9022.14,7332.37,1499.08,118.69,7937.51,7822.19,1689.7699999999995,71.9999999999996,115.32000000000062
2024-03-01,9469.7,7728.57,1565.61,119.02,8805.4,8573.88,1741.130000000001,56.50000000000112,231.52000000000044
2024-04-01,9827.7,8083.21,1646.92,117.25,9035.46,8994.94,1744.4900000000007,-19.67999999999938,40.51999999999862
2024-05-01,10422.04,8523.28,1630.29,106.75,8888.21,9516.71,1898.7600000000002,161.72000000000025,-628.5
2024-06-01,10418.81,8534.47,1740.31,110.03,9240.8,9740.48,1884.3400000000001,34.0000000000002,-499.6800000000003
2024-07-01,10238.48,8314.38,2240.99,107.98,9559.39,10056.43,1924.1000000000004,-424.86999999999944,-497.0400000000009
2024-08-01,10137.75,8364.5,2287.45,108.57,9431.46,9890.77,1773.25,-622.7699999999998,-459.3100000000013
2024-09-01,9755.02,8052.65,2243.55,106.8,8491.88,9456.44,1702.3700000000008,-647.9799999999993,-964.5600000000013
2024-10-01,9273.04,7649.41,1423.72,116.08,8230.45,8165.72,1623.630000000001,83.830000000001,64.73000000000047
2024-11-01,8549.28,6979.12,1448.08,111.74,7666.07,7949.14,1570.1600000000008,10.340000000000842,-283.0700000000006
2024-12-01,10088.96,8340.82,1685.59,110.08,9027.12,9094.75,1748.1399999999994,-47.5300000000005,-67.6299999999992
